"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1295,1345,1300,1350,1202,1295,1350,1400,1450,1395,1400,1300,1395,1395,1395,1395,1395,1395,1400,1600,1600,1495,1495,1350
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,1150,1175,1100,1100,1095,1100,1100,1100,1095,1040,1050,1050,1050,1050,1050,1000,1000,999,1000,1000,1025,1025,1050,1095,1095,1100,1100,1125,1150,1125.5,1150,1150,1150,1150,1100,1100,1150,1150,1175,1195,1195,1199,1200,1150,1200,1250,1250,1250,1250,1265,1250,1247.5,1245,1250,1250,1295,1295,1295,1250,1300
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,890,875,885,912.5,895,875,850,875,847.5,850,825,850,850,850,850,850,832.5,825,820,800,807.5,800,825,850,850,850,850,850,875,875,850,850,850,850,850,850,850,850,850,845,850,850,850,850,850,850,850,850,875,875,875,895,875,875,875,895,895,895,899,895,895,900,925,912.5,900,900,905,925,907.5,950,945,950,950,975
"Upper West Side","New York","NY","New York","New York",4,2850,2775,2900,2950,3200,3495,3500,3500,3600,3600,3400,3500,2895,3200,3200,3200,3100,3254,3355,3500,3500,3500,3433,3254,3395,3200,3200,3300,3399,3368,3400,3400,3425,3400,3300,3300,3300,3300,3295,3299,3250,3200,3250,3450,3450,3500,3500,3495,3500,3500,3500,3500,3600,3590,3500,3575,3600,3600,3595,3600,3540,3505,3599,3600,3617.5,3650,3650,3700,3650,3649,3650,3650,3657.5,3677.5,3600,3600,3512.5
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3025,3000,3200,2997.5,2995,2997.5,2999,3100,3000,3097.5,2990,3000,3500,3499,2950,2995,3100,3200,3500,3887.5,3900,4100
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,2597.5,2650,2650,2700,2800,2895,2895,2950,2912.5,2900,2790,2800,2700,2700,2750,2700,2700,2730,2795,2800,2800,2800,2800,2800,2750,2795,2700,2600,2500,2600,2800,2934.5,3050,3000,3000,3000,3000,3050,3000,3050,3000,3097.5,3095,3095,3062.5,3100,3100,3100,3100,3100,3100,3155,3195,3185,3176,3185,3150,3100,3132.5,3185,3150,3150,3100,3000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,895,895,900,895,900,900,900,900,895,895,892.5,890,875,850,850,895,895,885,875,850,850,875,875,875,857.5,850,850,875,850,850,850,850,850,850,875,850,896.5,899,900,900,912.5,900,900,900,900,900,900,900,925,950,950,925,932,900,950,950,940,950,950,950,950,987.5,990,995,950,967.5
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,1097.5,1200,1225,1200,1200,1100,1187.5,1195,1100,1100,1227.5,1199,1180,1125,1100,1100,1100,1100,1095,1100,1100,1100,1100,1099,1100,1100,1100,1100,1150,1100,1150,1100,1150,1150,1100,1099,1075,1075,1050,1050,1095,1085,1125,1125,1150,1150,1100,1100,1125,1150,1150,1150,1190,1195,1195,1200,1195,1195,1190,1200,1200,1195,1161.5,1195,1200,1200,1200,1150,1100,1100,1199,1200
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,1450,1475,1497.5,1475,1500,1600,1550,1395,1275,1250,1250,1200,1200,1200,1195,1200,1250,1250,1200,1200,1190,1225,1250,1225,1200,1250,1200,1200,1247.5,1200,1200,1200,1195,1199.5,1195,1200,1195,1189,1195,1195,1195,1195,1175,1195,1250,1250,1262.5,1275,1295,1300,1300,1350,1350,1314,1350,1300,1325,1350,1375,1450,1500,1495,1500,1495,1450,1450,1450,1450,1475,1485,1595,1550,1550,1500,1500,1450,1450
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,1100,1100,1125,1100,1100,1012.5,1000,1099,1099.5,1175,1100,1100,1145,1100,1100,1145,1100,1100,1095,1095,1099.5,1095,1070,1099,1100,1112.5,1100,1099,1100,1100,1150,1112.5,1125,1147.5,1150,1150,1150,1100,1100,1100,1095,1100,1100,1100,1150,1150,1150,1150,1150,1195,1199,1199,1200,1200,1200,1195,1195,1195,1200,1217,1200,1220,1200,1200,1225,1250,1250,1237.5,1225,1275,1249.5,1250,1250,1225,1250
