"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972,920,901,825,832,844.5,893.5,875,877.5,813,817.5,865,895,1050,990,957.5,882.5,900,940,900,875,890,960.5,999.5,939,875,919,914,909.5,1000,905,917,903.5
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,975,850,850,895,897.5,989,941,877,827,764.5,799,867.5,867,900,880,825,915,874,891.5,887,909,869,828,922
"Upper West Side","New York","NY","New York","New York",3,3050,3412.5,3200,3200,2900,2650,2795,2800,2950,2800,2900,3000,2995,3000,3000,3100,3000,3000,3000,3010,3075,3125,3095,3200,3250,3300,3300,3150,3100,3000,3150,3100,3195,3300,3280,3295,3300,3400,3300,3300,3300,3300,3300,3300,3300,3400,3350,3385,3399,3350,3385,3350,3300,3375,3375,3395,3300,3350,3387.5,3418,3475,3450,3445,3400,3400,3397,3395,3397,3370,3350
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1450,1450,1450,1495,1575,1700,1650,1495,1495,1550,1550,1595,1650,1795,1685,1772.5,1950,1742.5,1795,1795,1795,1875,1795,1820,1790,1875,1895,1950,1975,1875,1975,1950,1898,1912.5,1897,1975,1995,1995,1897
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,1377.5,1387.5,1370,1200,1200,1250,1262.5,1387.5,1400,1400,1350,1200,1200,1175,1300,1390,1350,1392.5,1397,1400,1400,1450,1250,1225,1320,1295,1300,1450,1499,1640,1690,1575,1472.5,1489,1489,1277.5,1475,1462.5,1599,1495,1625,1800,1900,1650,1595
"Upper East Side","New York","NY","New York","New York",6,,,2300,2295,2300,2300,2469.5,2575,2500,2500,2500,2575,2500,2500,2595,2595,2595,2600,2595,2600,2650,2675,2650,2695,2700,2700,2750,2750,2700,2700,2695,2600,2600,2795,2750,2750,2750,2800,2750,2720,2700,2700,2775,2775,2750,2995,2750,2725,2725,2700,2775,2790,2750,2800,2800,2800,2700,2795,2795,2847.5,2850,2800,2795,2750,2795,2800,2800,2800,2795,2700
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,682.5,622.5,645,625,600,614,600,595,600,625,625,599.5,599,600,625,601.5,642.5,625,625,645,650,664,700,760
"East New York","New York","NY","New York","Kings",8,,,,,,,,,1550,1500,1425,1450,1450,1450,1470,1500,1500,1500,1500,1587.5,1600,1600,1592.5,1600,1600,1600,1600,1550,1575,1600,1550,1550,1500,1600,1600,1500,1500,1500,1500,1500,1500,1545.5,1550,1550,1600,1700,1600,1600,1650,1650,1600,1600,1650,1700,1800,1800,1800,1750,1800,1850,1800,1800,1800,1850,1825,1899.5,1900,1900,1800,1850
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,822.5,853.5,875,865,840,831,810,850,837,881,900,900,885,865,849,850,878.5,900,865,1001,950,955,985,940,949.5,962
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,786,786,821,725,720,783,799,808,789,761,739,750,749,737.5,739,700.5,775,780,784,850,885,885,900,887.5,875,825,909.5,883,889,880,915,996,933,922,898,951,913,915.5,942
"Washington Heights","New York","NY","New York","New York",11,,,,,,1525,1450,1495,1475,1495,1500,1500,1500,1500,1550,1512.5,1500,1550,1525,1500,1475,1650,1650,1699.5,1650,1650,1600,1675,1650,1650,1665,1675,1700,1695,1699,1700,1750,1700,1700,1700,1700,1700,1700,1750,1800,1800,1800,1842.5,1855,1900,1850,1895,1900,1900,1900,1900,1900,1925,1950,1995,1950,1925,1950,1932.5,1900,1900,1950,1995,1950,1900
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245,1185,1110,1150,1050,1087,1123.5,1122,1137,1195,1222,1195,1200,1161,1275,1295,1225,1195,1210,1300,1295,1250,1250,1367.5,1372.5,1347,1397.5,1310,1350,1399,1395,1547.5,1527.5,1497.5,1517.5
"Astoria","New York","NY","New York","Queens",13,,,,,,1750,1600,1595,1600,1700,1796,1800,1796,1800,1837.5,1890,1862.5,1850,1950,1850,1905,2000,2150,2150,2250,2250,2095,2047,2000,1950,2000,1950,2000,2045,2102.5,2125,2195,2200,2150,2100,2150,2195,2180,2200,2250,2210,2250,2300,2300,2300,2300,2250,2250,2250,2200,2200,2250,2285,2295,2300,2300,2295,2300,2250,2200,2200,2250,2300,2300,2350
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",14,,,,,,,,,,,,,,,,,,,,,,,575,575,575,585,595,595,550,550,550,565,579,613.5,581,599,650,650,622,600,597,600,600,627,656,649,625,652.5,625,617.5,575,595,612,597,610,604,609.5,665,652,684,692.5,697.5,747,660,680,700,712,700,707.5,708
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",15,,,,,,,810,817.5,822,810,810,750,750,746,743,649,705,820,815,815,787,775,725,700,699.5,690,750,750,705,700.5,740,784,800,769,775,841,970,959,955,970,995,993,991,978,918,994,994,995,1008.5,1006,1018,1000,1005,1040,967,985,1000,1017,1034,1034,1037.5,1067,1030,1060,1025,1046.5,1072,1045,1062,1118
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",16,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1775,1750,1525,1795,1750,1895,1795,1966,1840,1600,1577.5,1495,1700,1685,1602.5,1597,1605,1625,1693,1747,1786.5,1650,1685,1807.5,1974.5,1850,1847.5,1900,1750,1695,1895,1850,1780,1735,1800,1750,1700,1775,1895,2100,2100,2140,2239
"Williamsburg","New York","NY","New York","Kings",17,,,,,,,,,,,,,,,,,,2825,2600,2799,2825,2850,3150,2995,2999,3120,2950,2950,2897,2899.5,2925,2841,2850,3099.5,3100,3100,3070,3000,3070,3000,2972.5,2950,2995,3000,3100,3155,3100,3115,3115,3100,3000,3000,2950,2950,2995,3000,3300,3300,3250,3250,3200,3150,3228,3218,3200,3195,3100,3149,3200,3200
"Bedford Stuyvesant","New York","NY","New York","Kings",18,,,,,1500,1500,1500,1500,1500,1600,1635,1695,1700,1662.5,1600,1625,1650,1650,1650,1650,1700,1685,1775,1850,1800,1800,1800,1750,1750,1750,1800,1850,1897,2000,2100,2200,2200,2200,2150,2199,2150,2142.5,2150,2150,2150,2295,2250,2300,2350,2299,2300,2300,2300,2291,2300,2350,2495,2495,2400,2450,2450,2450,2495,2400,2450,2450,2400,2426.5,2450,2500
"East Side","El Paso","TX","El Paso","El Paso",19,,,,,,,,,,,,,,,,,,,,,,,,,,825,812.5,825,825,795,825,825,825,825,795,800,795,787,750,750,795,800,800,812.5,725,750,757.5,750,775,800,800,825,850,842,839,839,817.5,817.5,797.5,850,850,850,850,850,850,838,843,836.5,834.5,800
"Alhambra","Phoenix","AZ","Phoenix","Maricopa",20,,,,,,,,,,,,,,,,,,,,,,,,550,529,550,585,575,575,622.5,650,625,625,625,600,600,600,623.5,599,595,595,600,600,600,650,650,650,672.5,675,675,650,650,649.5,650,650,650,650,672.5,699,695,699,699,682.5,695,700,700,660,650,650,675
"Flatbush","New York","NY","New York","Kings",21,,,,,,,1450,1400,1550,1500,1425,1350,1350,1375,1400,1450,1450,1325,1350,1400,1300,1350,1400,1450,1362.5,1462.5,1412.5,1550,1600,1550,1500,1450,1450,1600,1699,1750,1700,1600,1600,1650,1650,1650,1650,1650,1695,1697,1750,1725,1725,1725,1750,1800,1800,1800,1800,1849.5,1900,1850,1897,1925,1950,1987.5,1950,1950,1950,1900,1900,1925,1950,2000
"Crown Heights","New York","NY","New York","Kings",22,,,,,,,1500,1500,1600,1650,1600,1600,1575,1600,1600,1700,1650,1675,1700,1799,1850,1832,1900,1947,2000,1899.5,1874.5,1899,1800,1900,1860,1962.5,2000,2020,2099,2150,2200,2199,2150,2100,2100,2075,2100,2100,2300,2375,2200,2195,2200,2250,2300,2300,2295,2300,2300,2395,2499,2450,2400,2400,2399,2400,2383,2350,2350,2400,2400,2482.5,2400,2400
"Jamaica","New York","NY","New York","Queens",23,,,,,1600,1600,1600,1600,1600,1550,1512.5,1500,1595,1600,1600,1600,1575,1550,1550,1550,1550,1600,1500,1500,1474.5,1500,1462.5,1550,1500,1500,1550,1550,1550,1450,1500,1525,1494,1500,1517,1550,1537,1519,1551,1580,1574,1597.5,1550,1595,1600,1662.5,1650,1650,1650,1650,1700,1750,1726.5,1696,1695,1695,1650,1650,1656,1665,1698.5,1657,1748.5,1795,1725,1650
