"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,980,969,910,899,900,920,901,899,832,840,880,900,1040,975,950,895,930,950,925,899,901,974.5,1000,950,899,926,919,918,995,915,917,910
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,723.5,700,675,750,737,695,725,797.5,750,825,845,795,750,750,747.5,750,735,708.5,680,675,700,700,700,740,735.5,749,700,695,699,710,726.5,750,750,795,827.5,875,895,850,895,904.5,925,925,935,900,925,895,889,895,912.5,925,992,950,900,950,937.5,950,975,977.5,985,925,929.5,919,899,909,959,975,947,930.5,1000
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,650,600,650,648.5,647,600,594.5,600,619,650,726,650,648,625,625,639,639,615,589,595,599,610,650,697,681,725,650,650,667,667,667,725,700,700,700,700,780.5,750,750,765,770,755,750,769.5,765,750,767.5,750,750,740,750,780,775,752.5,847.5,750,672.5,695,760,770,787,805
"Upper West Side","New York","NY","New York","New York",4,,2950,2900,2774.5,2972.5,2950,3000,3100,3400,3425,3200,2850,2700,2847,2900,3000,2850,3000,3095,3100,3195,3195,3195,3095,3100,3010,3030,3135,3165,3120,3200,3200,3299,3300,3200,3200,3200,3200,3200,3200,3300,3250,3265,3385,3400,3300,3313,3300,3300,3300,3300,3300,3400,3430,3450,3495,3495,3475,3445,3439.5,3450,3465,3495,3450,3495,3500,3515,3580,3550,3538,3500,3500,3500,3500,3500,3500,3450
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,1447.5,1495,1495,1495,1510,1550,1622.5,1595,1495,1495,1577,1575,1550,1495,1585,1595,1499,1575,1595,1650,1630,1580,1557.5,1565,1622,1625,1650,1597.5,1695,1575,1625,1625,1750,1575,1575,1625,1600,1695,1725,1799,1795,1842.5,1995,1895,1850,1849,1849.5,1975,1899.5,1935,1895,2000,1997.5,1975,1995,1925,2050,1995,1995,2048,2011,2012.5,2095,2025,2090
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1100,1150,1200,1200,1250,1262.5,1295,1350,1200,1200,1158,1250,1350,1325,1350,1350,1398.5,1350,1425,1200,1212.5,1300,1250,1250,1450,1495,1550,1600,1500,1450,1489,1425,1250,1450,1475,1500,1475,1525,1625,1700,1625,1550
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,2250,2400,2500,2500,2500,2500,2595,2575,2595,2595,2550,2500,2550,2550,2575,2600,2600,2605,2650,2650,2700,2700,2750,2700,2695,2695,2695,2695,2695,2600,2659,2750,2795,2750,2749,2700,2700,2750,2750,2750,2950,2800,2800,2800,2800,2800,2845,2800,2895,2900,2900,2800,2885,2895,2950,2950,2895,2880,2870,2875,2900,2900,2900,2850,2800
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,662,645,625,600,645,645,600,600,625,625,600,612.5,600,650,625,600,638.5,650,635,625,599,624,645,627.5,649.5,650,675,650,649,650,660,669,695,675,650,700,785,785,775,750,780,750,695,675,675,650,650,675,650,675,675,675,675,675,650,675,675,650,675,670,695,695,695,687,700,750
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,1600,1575,1525,1550,1500,1425,1450,1450,1450,1450,1500,1500,1483,1400,1450,1500,1500,1488,1450,1500,1500,1500,1500,1500,1500,1550,1550,1550,1550,1600,1545,1500,1500,1500,1500,1500,1546,1550,1550,1600,1700,1600,1600,1650,1650,1600,1600,1650,1700,1799,1750,1800,1750,1800,1800,1795,1700,1800,1800,1800,1850,1900,1900,1800,1825
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1425,1497.5,1450,1489,1450,1425,1372.5,1400,1485,1372.5,1495,1495,1500,1695,1564,1750,1800,1692,1400
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",11,,,,,,,,1100,997,995,1000,999.5,950,950,970,987.5,995,950,950,950,900,865,854,869.5,858,826.5,830,795.5,810,830,810,810,823,827,828.5,810,795,827,844,850,850,850,850,855,844,820,887.5,999,992.5,975,969,975,950,936.5,950,925,925,925,947.5,950,945,975,1027.5,1000,995,1000,1000,1000,1025,960,1076,1095,1075.5,1044,1042,995,1045
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",12,,,,,,,,,,,,749,695,695,650,669.5,750,776,786,777,750,701,700,675,695,700,725,717,725,739,750,783.5,750,730,749,746.5,778,785.5,788,777,799,750,769.5,788,795,799,799,795,795,800,799,792.5,797,785,800,827,827,865,880,885,891,878,859,832.5,892.5,866,890,870,900,990.5,910,900,884,929,909,897.5,919
"Washington Heights","New York","NY","New York","New York",13,,,,,,,,,,,1395,1416,1450,1450,1475,1450,1475,1500,1500,1525,1500,1507.5,1500,1550,1500,1500,1500,1525,1625,1600,1650,1625,1600,1600,1600,1600,1645,1675,1695,1750,1700,1750,1700,1750,1700,1700,1700,1725,1700,1745,1750,1800,1800,1800,1800,1850,1852.5,1850,1850,1895,1855,1897,1875,1895,1900,1900,1950,1900,1900,1900,1900,1900,1900,1900,1900,1900,1855
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.5,1550,1299,1400,1150,1175,1195,1150,1169,1099,1095,1174,1165,1195,1199.5,1247.5,1247.5,1250,1250,1321,1321,1250,1225,1295,1350,1295,1295,1272.5,1395,1395,1348.5,1400,1345,1350,1400,1425,1545,1500,1520,1497.5
"Astoria","New York","NY","New York","Queens",15,,,,1750,1750,1750,1775,1700,1600,1600,1725,1775,1700,1600,1600,1600,1650,1795,1800,1800,1800,1800,1750,1700,1750,1750,1750,1800,1825,1950,2000,2050,2045,2000,2000,2000,2000,2000,2000,2094.5,2000,2095,2100,2150,2200,2100,2100,2110,2150,2150,2200,2250,2200,2212.5,2300,2300,2300,2250,2200,2200,2215,2200,2200,2250,2250,2275,2300,2300,2250,2295,2200,2200,2200,2250,2295,2275,2300
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",16,,,,,,,,725,775,750,775,697.5,695,692.5,692.5,650,697.5,699.5,695,695,662.5,625,589,569,622,600,639.5,640,685,690,659,650,650,637,619,625,629,622,639,638,649,644,650,689,695,660,649,646.5,650,674,679,730,700,695,700,700,700,675,695,713,721,720,720,749.5,740,750,753,754,740,755,729,735,735,770,772,751.5,780
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",17,,,,,,,,,,,,,,,,,,,,747,725,736,747,749,769,786,789,791.5,800,802,797,795,804.5,824,875,958,835,840,850,850,862.5,876,875,982.5,985,971,992,1000.5,995,995,990,938,1001,1000,1006,1030,1018,1025.5,1005,1015.5,1049,990,999,1010,1023,1045,1045,1055,1079,1040,1062,1027,1049,1073,1045,1075,1111.5
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",18,,,,,,,,,,,,,1295,1295,1295,1295,1295,1200,1250,1275,1395,1425,1400,1550,1595,1600,1595,1517.5,1425,1485,1545,1575,1664,1750,1635,1695,1850,1998,1895,1895,1800,1800,1695,1600,1692.5,1525,1717.5,1740,1635,1600,1625,1695,1749,1785,1885,1780,1825,1855,2015,1977,1947.5,2099,1926,1895,2000,1990,1858,1825,1895,1850,1825,1937.5,2000,2195,2202.5,2200,2245
"Williamsburg","New York","NY","New York","Kings",19,,,,1900,1900,2000,2200,2200,1950,1900,1875,2050,2050,2125,2100,2100,2400,2400,2400,2543.5,2700,2700,2645,2695,2650,2700,2750,2769,2700,2750,2755,2750,2895,2900,2900,2895,2899,2925,2900,2999,3100,3000,3000,3000,3000,3025,3000,2953,2950,2995,3000,3100,3157,3100,3125,3120,3100,3000,3000,2995,2986,2999,3027,3285,3300,3250,3250,3200,3199,3200,3200,3200,3190,3100,3150,3200,3199
"Bedford Stuyvesant","New York","NY","New York","Kings",20,,,,,,,,,,,,1500,1500,1500,1500,1500,1600,1650,1699,1700,1650,1600,1600,1600,1600,1650,1650,1700,1700,1750,1799.5,1750,1750,1750,1700,1750,1800,1850,1850,1975,2000,2100,2200,2200,2200,2154,2175,2125,2104.5,2150,2150,2150,2250,2250,2300,2350,2300,2300,2300,2300,2299,2300,2350,2450,2450,2400,2450,2487.5,2484,2495,2400,2449,2450,2400,2400,2450,2500
"East Side","El Paso","TX","El Paso","El Paso",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821,872.5,850,825,735,750,750,725,810,832,825,825,825,800,795,795,795,779.5,820,825,845,850,850,775,795,795,795,795,825,800,845,850,850,875,875,862.5,850,839,866.5,859,865,873,858,855,850,855,880,875,870
"Alhambra","Phoenix","AZ","Phoenix","Maricopa",22,,,,,,,,587.5,579,599,600,575,595,600,612.5,599,595,595,637,599.5,599,600,600,647,615,618,625,625,615,619.5,616,649,625,650,643,628.5,650,662.5,669,650,655,645,649,655,650,650,650,650,650,650,650,675,700,680,700,700,700,690,685,695,699,699,700,700,700,725,725,725,750,750,750,750,750,799,775,750,750
"Flatbush","New York","NY","New York","Kings",23,,,,,,,,,,,,,1349,1349,1350,1397.5,1437.5,1385,1350,1350,1350,1325,1375,1400,1337.5,1322.5,1350,1350,1400,1400,1400,1350,1375,1375,1399,1400,1450,1500,1495,1500,1599,1600,1650,1699,1600,1600,1650,1650,1650,1650,1650,1695,1695,1725,1700,1700,1704,1750,1800,1800,1800,1800,1800,1900,1850,1897,1925,1950,1975,1950,1950,1950,1900,1900,1900,1950,1962.5
"Crown Heights","New York","NY","New York","Kings",24,,,,,,,,,,,,1500,1500,1450,1550,1650,1650,1600,1600,1580,1600,1650,1750,1750,1700,1750,1800,1800,1842,1843.5,1922,1850,1800,1800,1700,1700,1800,1860,1900,2000,2100,2099,2100,2100,2100,2100,2100,2100,2095,2100,2100,2300,2350,2200,2200,2200,2250,2300,2275,2291,2295,2299.5,2350,2456.5,2400,2400,2400,2399,2400,2350,2350,2350,2400,2400,2450,2400,2400
"Jamaica","New York","NY","New York","Queens",25,,,,,,,,,,,,1575,1500,1525,1600,1600,1500,1500,1500,1500,1500,1558,1550,1500,1500,1500,1500,1500,1500,1400,1400,1450,1462.5,1400,1400,1375,1446,1497.5,1500,1500,1450,1450,1457,1450,1495,1500,1550,1509,1518.5,1550,1565,1550,1570,1550,1550,1623,1675,1625,1623,1631.5,1650,1700,1723,1700,1695,1695,1695,1650,1600,1650,1665,1700,1675,1750,1797,1750,1650
"Harlem","New York","NY","New York","New York",26,,,,,,,,,,,,1662.5,1600,1600,1600,1600,1695,1650,1695,1695,1695,1695,1650,1695,1727.5,1720,1700,1745,1775,1850,1875,1870,1850,1850,1750,1730,1750,1800,1850,1900,1900,1850,1850,1900,1895,1900,1900,1900,1879,1879,1900,1950,2000,2100,2150,2100,2200,2100,2150,2200,2200,2200,2200,2150,2187,2200,2200,2178,2217.5,2200,2225,2200,2200,2200,2200,2200,2200
"Williamsbridge","New York","NY","New York","Bronx",27,,,,,,,,,,,,,,,,,,,,,,,1100,1100,1100,1100,1175,1187.5,1200,1150,1150,1100,1100,1100,1200,1200,1250,1200,1200,1199,1200,1225,1275,1162.5,1212.5,1200,1200,1200,1200,1200,1200,1222.5,1205,1250,1250,1250,1300,1300,1300,1300,1300,1325,1300,1300,1300,1350,1375,1357,1400,1400,1450,1425,1400,1400,1400,1425,1400
"East Harlem","New York","NY","New York","New York",28,,,,,,,,,,,,,1900,1995.5,2185,2250,2145,2150,2150,1995,1975,2000,2095,2100,2100,2100,2200,2250,2300,2400,2400,2395,2450,2500,2500,2500,2500,2500,2400,2500,2550,2499,2520,2600,2650,2500,2600,2600,2650,2650,2650,2600,2700,2699,2650,2600,2550,2600,2700,2500,2499,2250,2600,2700,2795,2700,2700,2700,2795,2695,2650,2650,2650,2800,2850,2800,2850
"Bushwick","New York","NY","New York","Kings",29,,,,,,,,,,,,1550,1550,1600,1600,1625,1560,1600,1600,1600,1600,1650,1700,1650,1650,1600,1625,1700,1800,1850,1900,1800,1750,1750,1750,1700,1800,1900,2000,2300,2300,2250,2399,2499,2500,2400,2399,2300,2300,2269,2269,2300,2350,2350,2400,2400,2400,2400,2399,2400,2400,2450,2500,2500,2500,2500,2599,2600,2600,2600,2550,2599,2600,2600,2650,2650,2650
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",30,,,,,,,,1500,1600,1800,1800,1800,1600,1500,1500,1500,1495,1399.5,1300,1300,1450,1495,1495,1500,1450,1240.5,1200,1200,1200,1181.5,1200,1200,1200,1175,1200,1195,1285,1295,1300,1295,1250,1245,1300,1395,1400,1395,1400,1412.5,1449,1405,1369,1405,1415,1485,1495,1541,1550,1500,1492,1500,1700,1734,1800,1697.5,1695,1600,1600,1600,1650,1592,1509,1519,1552.5,1520,1547.5,1458,1490
"East Flatbush","New York","NY","New York","Kings",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1500,1500,1475,1500,1500,1500,1595,1600,1675,1650,1675,1675,1600,1600,1650,1650,1650,1650,1675,1675,1675,1640
"Enterprise","Las Vegas","NV","Las Vegas","Clark",32,,,,,,,,,,,,,1100,970,1050,1000,962.5,995,995,997.5,1000,995,990,950,950,900,1000,995,992.5,992.5,999.5,1000,995,1100,1150,1049,999,1175,1124,1050,1050,1100,1124.5,1175,1150,1150,1150,1179,1150,1150,1175,1200,1195,1195,1195,1175,1200,1200,1200,1195,1150,1125,1175,1150,1175,1150,1125,1125,1150,1135,1100,1108,1125,1150,1195,1200,1250
"South Mountain","Phoenix","AZ","Phoenix","Maricopa",33,,,,,,,,,,,,,,,,695,700,697,699,747.5,699.5,699,675,745,665,710,715,745,704.5,681.5,685,689,750,725,709.5,750,749,759,774,789,789,780,814,850,829,750,750,839,850,834.5,834,812,797,859.5,800,754.5,775,807,862,925,957.5,850,890,850,895,950,945,879,850,875,852.5,850,900,885,950,950,875
"Corona","New York","NY","New York","Queens",34,,,,,,,,,,,,,,,1295,1295,1312.5,1475,1350,1295,1312.5,1300,1295,1295,1320,1345,1400,1425,1400,1400,1400,1400,1450,1500,1450,1500,1541,1600,1500,1500,1500,1400,1450,1600,1600,1555,1512.5,1475,1500,1500,1500,1500,1495,1500,1500,1500,1550,1580,1600,1555,1575,1600,1650,1650,1650,1665,1700,1695,1850,1695,1700,1895,1875,1760,1850,1787.5,1800
"Sunset Park","New York","NY","New York","Kings",35,,,,,,,,,,,,1500,1550,1550,1550,1575,1637.5,1650,1650,1650,1600,1600,1600,1500,1550,1599,1600,1600,1600,1650,1700,1675,1525,1500,1500,1600,1500,1550,1600,1600,1650,1655,1700,1675,1700,1700,1650,1650,1600,1650,1700,1750,1900,1800,1800,1800,1800,1800,1750,1700,1750,1800,1800,1800,1800,1850,1900,1900,1850,1850,1875,1900,1900,1900,1925,1900,2000
"Concourse","New York","NY","New York","Bronx",36,,,,,,,,,,,,,,,,,1100,1125,1100,1100,1025,1100,1200,1250,1300,1250,1262.5,1300,1333,1300,1200,1125,1100,1100,1100,1200,1300,1300,1350,1200,1200,1293,1335,1350,1250,1300,1295,1350,1325,1350,1500,1400,1350,1350,1350,1350,1350,1350,1325,1300,1300,1325,1350,1350,1400,1400,1375,1375,1400,1375,1395,1400,1400,1400,1350,1382.5,1437.5
"South Side","Corpus Christi","TX","Corpus Christi","Nueces",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1025,969,969,990,1030,990,964.5,990,895,950,995,1023,964,989.5,925,895,910,930,922.5,914.5,1005,1100,1050,1044,1067,1073,1094,1100,1100,1083,1006,992.5
"North Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.5,1590,1595,1632,1650,1597.5,1650,1597.5,1595,1575,1495,1550,1550,1595,1641.5,1650,1621,1625,1595,1625,1655.5,1702,1881,1787.5,1896.5,1885,1899,1900,1897.5,1785,1850,1795,1902.5,1902.5,1905,1895,1964,1960,2017,1995,2031,2020,2067.5,2044
"Alief","Houston","TX","Houston","Harris",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.5,775,741.5,752,800.5,810,815.5,816.5,797.5,795,814,825,800,829,850,839,830,850,857.5,850,826,835,835,850,800,822,860,879,900,875,860,862.5
"Borough Park","New York","NY","New York","Kings",40,,,,,,,,,,,,,,,,,1600,1500,1500,1500,1475,1450,1412.5,1400,1300,1362.5,1350,1350,1400,1475,1475,1400,1475,1450,1450,1400,1400,1400,1400,1500,1499.5,1500,1695,1800,1587.5,1575,1550,1537.5,1700,1700,1650,1575,1500,1550,1650,1600,1650,1700,1650,1600,1600,1585,1650,1699,1750,1900,1950,2000,1885,1800,1700,1750,1797,1800,1675,1600,1837.5
"Elmhurst","New York","NY","New York","Queens",41,,,,,,,,,,,,,1500,1430,1400,1425,1395,1375,1375,1395,1325,1325,1325,1350,1350,1350,1350,1350,1350,1420,1450,1475,1450,1450,1462.5,1450,1445,1450,1450,1500,1550,1550,1595,1550,1600,1600,1575,1615,1600,1600,1600,1575,1650,1675,1700,1700,1725,1700,1650,1625,1695,1700,1745,1700,1800,1750,1750,1800,1800,1850,1800,1812.5,1850,1800,1800,1800,1800
"Bullard","Fresno","CA","Fresno","Fresno",42,,,,,,,,,,,,,,,,,,,,,,,,829,839,839,750,755,800,775,762.5,850,875,885,859,832,825,825,825,809,794,780,810,750,820,790,835,875,855,875,877.5,872.5,850,862.5,895,895,825,837.5,872.5,825,872.5,875,875,860,822.5,885,940,950,895,895,895,850,865,870,865,947.5,937.5
"Mid City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310,2383.5,2369,2395,2338.5,2300,2472.5,2338,2500,2200,2162.5,2100,2195,2250,2350,2250,2395,2450
