"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Upper West Side","New York","NY","New York","New York",1,,,,1997.5,2012.5,1995,1925,1962.5,1995,2000,2035,2150,2150,2100,2049,2045,2095,2060,2100,2100,2075,2100,2195,2200,2232,2200,2199,2195,2179,2195,2156,2185,2200,2150,2190,2230,2250,2250,2275,2250,2250,2249,2250,2225,2200,2300,2257.5,2300,2299,2350,2320,2300,2277,2300,2350,2310,2300,2319.5,2350,2350,2350,2335,2322.5,2300,2395,2300,2350,2300,2397
"Upper East Side","New York","NY","New York","New York",2,1800,1825,1800,1850,1695,1750,1750,1750,1800,1800,1800,1849,1850,1875,1850,1850,1850,1850,1850,1850,1875,1850,1850,1850,1875,1850,1875,1855,1850,1875,1875,1850,1895,1850,1895,1899,1900,1900,1900,1895,1900,1900,1900,1909,1900,1949,1950,1925,1950,1950,1950,1950,1950,1950,1999,1970,1965,1950,1995,1995,1995,1995,1995,1995,1995,1999,1995,1995,1982
"Washington Heights","New York","NY","New York","New York",3,,,,,,,1185,1140,1150,1175,1125,1112.5,1162.5,1150,1150,1150,1195,1195,1200,1200,1285,1250,1250,1250,1250,1250,1200,1225,1250,1295,1295,1292.5,1250,1295,1300,1350,1395,1350,1350,1350,1350,1375,1375,1395,1395,1341.5,1362.5,1350,1350,1343.5,1360.5,1397,1400,1450,1400,1400,1450,1449,1395,1399,1395,1350,1372.5,1400,1400,1399,1399,1366.5,1399
"Astoria","New York","NY","New York","Queens",4,,,,,,,,,,,,,,,1350,1550,1600,1425,1400,1400,1500,1450,1500,1700,1750,1800,1725,1700,1725,1612.5,1650,1750,1700,1700,1700,1850,1900,1799,1760,1790,1800,1795,1810,2000,2000,1975,2000,1990,1950,1900,1800,1795,1850,1875,1900,1900,2000,2000,2050,2000,2000,2038,2000,1944,1850,1800,1800,1950,1950
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1395,1395,1275,1295,1250,1337.5,1400,1495,1450,1487.5,1500
"Williamsburg","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,2200,1950,2200,2395,2395,2200,2295,2400,2310,2350,2324,2200,2245,2370,2300,2472,2525,2585,2549,2545,2549,2550,2600,2575,2600,2595,2550,2500,2549,2517.5,2500,2592.5,2580,2550,2546.5,2570,2550,2595,2612,2675,2795,2795,2750,2790,2760,2790,2827.5,2790,2754,2700,2600,2651.5,2579,2676
"Bedford Stuyvesant","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1513,1500,1500,1350,1349,1350,1315,1350,1400,1400.5,1495,1500,1549.5,1550,1550,1500,1500,1500,1660,1675,1600,1750,1698,1685,1695,1650,1600,1550,1600,1650,1700,1615,1700,1800
"Flatbush","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,1100,1100,1100,1100,1100,1100,1150,1175,1200,1200,1199,1175,1200,1274.5,1299.5,1250,1200,1225,1256.5,1225,1250,1263,1300,1263,1300,1300,1399,1400,1375,1300,1350,1400,1376,1375,1400,1400,1395,1400,1495,1475,1450,1375,1399,1400,1499,1525,1594.5,1500
"Crown Heights","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824.5,1674.5,1800,1775,1995,1850,1800,1700,1600,1600,1600,1687,1637.5
"Jamaica","New York","NY","New York","Queens",10,,,,,,,,,,,,,,,,,,,,,,1062.5,1050,1196,1196,1152.5,1207,1202,1185.5,1176,1176,1250,1295,1300,1259,1325,1325,1300,1259,1248,1248,1249,1254.5,1335.5,1350,1397.5,1384,1433.5,1421.5,1425,1395,1400,1412.5,1437.5,1425,1463,1457,1487,1475,1363,1346,1396,1389,1392.5,1400,1453.5,1397,1386.5,1399.5
